Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,479494,-,-,-,39.73,-105.18,-7,1876,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2022,1,1,0,0,-9.5,1.22,0.062,0.62,0,0,0,0,7,-14.100000000000001,0,0,0,0,0.269,69.3,163.25,0.96,0.8,794,0.5,39,2.3000000000000003,0.0000,0.0000
2022,1,1,0,30,-9.700000000000001,1.22,0.062,0.62,0,0,0,0,6,-14.100000000000001,0,0,0,0,0.269,70.4,162.41,0.96,0.8,794,0.5,44,2.2,0.0000,0.0000
2022,1,1,1,0,-9.9,1.21,0.063,0.62,0,0,0,0,7,-14.600000000000001,0,0,0,0,0.269,68.51,159.52,0.96,0.8,794,0.5,50,2.2,0.0000,0.0000
2022,1,1,1,30,-10.200000000000001,1.21,0.063,0.62,0,0,0,0,7,-14.600000000000001,0,0,0,0,0.271,70.16,155.32,0.96,0.8,794,0.5,50,2.1,0.0000,0.0000
2022,1,1,2,0,-10.4,1.21,0.065,0.62,0,0,0,0,7,-15.100000000000001,0,0,0,0,0.272,68.41,150.37,0.96,0.8,794,0.5,50,2,0.0000,0.0000
2022,1,1,2,30,-10.700000000000001,1.21,0.065,0.62,0,0,0,0,8,-15.100000000000001,0,0,0,0,0.274,70.06,145.01,0.96,0.8,794,0.5,44,1.9000000000000001,0.0000,0.0000
2022,1,1,3,0,-11,1.21,0.064,0.62,0,0,0,0,8,-15.600000000000001,0,0,0,0,0.276,68.73,139.42000000000002,0.96,0.8,794,0.5,38,1.8,0.0000,0.0000
2022,1,1,3,30,-11.3,1.21,0.064,0.62,0,0,0,0,7,-15.600000000000001,0,0,0,0,0.278,70.4,133.71,0.96,0.8,794,0.5,35,1.8,0.0000,0.0000
2022,1,1,4,0,-11.600000000000001,1.21,0.063,0.62,0,0,0,0,8,-16.2,0,0,0,0,0.28,68.48,127.95,0.96,0.8,794,0.4,32,1.7000000000000002,0.0000,0.0000
2022,1,1,4,30,-11.9,1.21,0.063,0.62,0,0,0,0,8,-16.2,0,0,0,0,0.28200000000000003,70.14,122.19,0.97,0.8,794,0.4,31,1.8,0.0000,0.0000
2022,1,1,5,0,-12.200000000000001,1.19,0.069,0.62,0,0,0,0,8,-16.8,0,0,0,0,0.28400000000000003,68.29,116.46000000000001,0.97,0.8,795,0.4,31,1.8,0.0000,0.0000
